,Half Squat - TB,Back Squat & Shoulder Press,Spooky Squat - DI,Arm Curl - DB,Tuck Jumps,Triceps Bench Dips,Triceps Dips,Torsional Backward Throw - MB,Torsion - SB FW,Standing Disc Press,Staggered Half Back Squat,Staggered Quarter Squat - FW,SA Squat Jump - DB,Half Back Squat - BB,Sissy Squat - belt,Half Squat - KS,SL Squat - KS,Deep Back Squat,Acceleration Squat - FW,SL Acceleration Squat - FW,Half Squat - FW,Split Jerk,Hip thrust -BB,Deadlift - BB,SL RDL - BW,SL Hip Thrust - KB,SL RDL - DB,SL Crab Hip Thrust,Push up - Knee,Push up - Jump,Push Up - Fly,Bench press - BB,Sled Acceleration,Military Press - DB,Military Press - BB,Glute Bridge SL Reach Reflex,Trx row,V-Sit Vertical Throw - MB,Throw down - MB,Squat Rows - FW,Side plank - Row,SHS Knee Ext Taps to Drop Step Accel,Rows Sitting SA - FW,Rows - Bent Over SA DB,Ankle Jumps (10-5),Donkey Calf,ZigZag 8 - EC Side,Zig-Zag - EC Side,Toe Back Squat,Toe Squat,Sprinter Plank - Wall,Sled Side Run,Sled March - T,Sled Lateral Pull Alt - T,Sled Crawl,Sled Carioca,Sled Back to Forward Acceleration,Skull Crasher - DB
gracilis-l,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;4;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,2;1;3,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,5;2;6,0;3;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
tibialis_anterior-r,4;2;5,4;2;5,4;2;5,0;0;0,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;0;0,3;2;3,3;2;4,3;2;4,3;2;3,3;2;4,4;2;5,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,4;2;5,0;2;0,0;2;0,3;4;3,4;2;5,0;2;0,0;0;0,0;4;0,0;0;0,8;3;8,4;2;5,4;2;4,4;2;4,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
tibialis_anterior-l,4;2;5,4;2;5,4;2;5,0;0;0,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;0;0,3;2;3,3;2;4,3;2;4,3;2;3,3;2;4,4;2;5,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,4;2;5,0;2;0,0;2;0,3;4;3,4;2;5,0;2;0,0;0;0,0;4;0,0;0;0,8;3;8,4;2;5,4;2;4,4;2;4,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
gastrocnemius-r,4;2;5,4;2;5,4;2;5,0;0;0,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,3;2;5,3;2;3,5;3;6,3;2;4,3;2;3,3;2;4,4;2;5,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,4;2;5,0;2;0,0;2;0,3;4;3,4;2;5,0;2;0,0;0;0,0;4;0,0;0;0,8;3;9,4;2;5,4;2;4,4;2;4,5;2;6,5;2;6,4;5;5,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
gastrocnemius-l,4;2;5,4;2;5,4;2;5,0;0;0,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,3;2;5,3;2;3,5;3;6,3;2;4,3;2;3,3;2;4,4;2;5,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,4;2;5,0;2;0,0;2;0,3;4;3,4;2;5,0;2;0,0;0;0,0;4;0,0;0;0,8;3;9,4;2;5,4;2;4,4;2;4,5;2;6,5;2;6,4;5;5,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
erector_spinae_cervical,0;3;0,0;5;0,0;3;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;4;0,0;2;0,2;3;4,4;3;4,0;2;0,4;3;4,0;4;0,0;0;0,0;3;0,0;3;0,0;0;0,0;5;0,0;3;0,0;3;0,0;3;0,0;5;0,0;5;0,0;4;0,0;3;0,0;5;0,0;0;0,0;3;0,0;6;0,0;5;0,0;2;0,0;0;0,0;0;0,0;3;0,0;3;0,0;6;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
erector_spinae_lumbar,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;2;0,2;3;4,5;4;5,0;2;0,5;4;5,0;4;0,0;0;0,0;3;0,0;3;0,0;0;0,0;5;0,0;3;0,0;3;0,0;3;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;0;0,0;5;0,0;6;0,0;5;0,0;2;0,0;0;0,0;0;0,0;5;0,0;5;0,0;6;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
erector_spinae-thoracis,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;2;0,2;3;4,5;4;5,0;2;0,5;4;5,0;4;0,0;0;0,0;3;0,0;3;0,0;0;0,0;5;0,0;3;0,0;3;0,0;3;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;0;0,0;5;0,0;6;0,0;5;0,0;2;0,0;0;0,0;0;0,0;5;0,0;5;0,0;6;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
upper_trapezius-l,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,1;3;3,5;3;7,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;6;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
upper_trapezius-r,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,1;3;3,5;3;7,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;6;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
