,Half Squat - TB,Back Squat & Shoulder Press,Spooky Squat - DI,Arm Curl - DB,Tuck Jumps,Triceps Bench Dips,Triceps Dips,Torsional Backward Throw - MB,Torsion - SB FW,Standing Disc Press,Staggered Half Back Squat,Staggered Quarter Squat - FW,SA Squat Jump - DB,Half Back Squat - BB,Sissy Squat - belt,Half Squat - KS,SL Squat - KS,Deep Back Squat,Acceleration Squat - FW,SL Acceleration Squat - FW,Half Squat - FW,Split Jerk,Hip thrust -BB,Deadlift - BB,SL RDL - BW,SL Hip Thrust - KB,SL RDL - DB,SL Crab Hip Thrust,Push up - Knee,Push up - Jump,Push Up - Fly,Bench press - BB,Sled Acceleration,Military Press - DB,Military Press - BB,Glute Bridge SL Reach Reflex,Trx row,V-Sit Vertical Throw - MB,Throw down - MB,Squat Rows - FW,Side plank - Row,SHS Knee Ext Taps to Drop Step Accel,Rows Sitting SA - FW,Rows - Bent Over SA DB,Ankle Jumps (10-5),Donkey Calf,ZigZag 8 - EC Side,Zig-Zag - EC Side,Toe Back Squat,Toe Squat,Sprinter Plank - Wall,Sled Side Run,Sled March - T,Sled Lateral Pull Alt - T,Sled Crawl,Sled Carioca,Sled Back to Forward Acceleration,Skull Crasher - DB
gluteus_maximus-l,7;2;8,8;2;9,7;2;8,0;0;0,7;3;9,0;0;0,0;0;0,1;3;5,3;2;5,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,8;2;9,8;2;9,7;2;8,2;3;6,8;2;9,8;2;9,7;2;8,8;2;9,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,8;3;9,0;3;0,0;3;0,8;2;9,0;0;0,0;2;0,3;3;7,7;2;8,0;4;0,4;1;4,0;4;0,0;2;0,7;3;7,0;5;0,7;2;8,7;2;8,7;2;8,7;2;8,4;5;6,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,0;0;0
gluteus_maximus-r,7;2;8,8;2;9,7;2;8,0;0;0,7;3;9,0;0;0,0;0;0,1;3;5,3;2;5,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,8;2;9,8;2;9,7;2;8,2;3;6,8;2;9,8;2;9,7;2;8,8;2;9,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,8;3;9,0;3;0,0;3;0,8;2;9,0;0;0,0;2;0,3;3;7,7;2;8,0;4;0,4;1;4,0;4;0,0;2;0,7;3;7,0;5;0,7;2;8,7;2;8,7;2;8,7;2;8,4;5;6,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,0;0;0
internal_oblique-r,0;5;0,0;5;0,0;5;0,0;0;0,0;4;0,0;4;0,0;4;0,2;4;6,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,0;4;0,0;5;0,3;5;7,0;3;0,0;5;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
internal_oblique-l,0;5;0,0;5;0,0;5;0,0;0;0,0;4;0,0;4;0,0;4;0,2;4;6,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,0;4;0,0;5;0,3;5;7,0;3;0,0;5;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
extrenal_oblique-r,0;5;0,0;5;0,0;5;0,0;0;0,0;4;0,0;4;0,0;4;0,2;4;6,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,0;4;0,0;5;0,3;5;7,0;3;0,0;5;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
extrenal_oblique-l,0;5;0,0;5;0,0;5;0,0;0;0,0;4;0,0;4;0,0;4;0,2;4;6,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,0;4;0,0;5;0,3;5;7,0;3;0,0;5;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
Tfl-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
Tfl-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
gracilis-r,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;6,5;2;6,0;2;0,0;0;0,0;2;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0
gracilis-l,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;6,5;2;6,0;2;0,0;0;0,0;2;0,0;2;0,0;0;0,0;0;0,5;4;6,5;4;6,5;2;6,5;2;6,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0
semimembranosus-r,6;2;7,6;2;7,6;2;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,7;3;8,7;3;8,6;2;7,4;5;7,8;2;8,8;2;9,7;2;8,8;2;8,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,7;3;8,0;3;0,0;3;0,7;2;8,0;3;0,0;3;0,2;3;6,6;2;7,0;2;0,3;1;3,0;2;0,0;2;0,7;3;7,5;2;6,5;4;6,5;4;6,6;2;7,6;2;7,3;2;3,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,0;0;0
semimembranosus-l,6;2;7,6;2;7,6;2;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,7;3;8,7;3;8,6;2;7,4;5;7,8;2;8,8;2;9,7;2;8,8;2;8,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,7;3;8,0;3;0,0;3;0,7;2;8,0;3;0,0;3;0,2;3;6,6;2;7,0;2;0,3;1;3,0;2;0,0;2;0,7;3;7,5;2;6,5;4;6,5;4;6,6;2;7,6;2;7,3;2;3,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,0;0;0
semitendinosus-r,6;2;7,6;2;7,6;2;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,7;3;8,7;3;8,6;2;7,4;5;7,8;2;8,8;2;9,7;2;8,8;2;8,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,7;3;8,0;3;0,0;3;0,7;2;8,0;3;0,0;3;0,2;3;6,6;2;7,0;2;0,3;1;3,0;2;0,0;2;0,7;3;7,5;2;6,5;4;6,5;4;6,6;2;7,6;2;7,3;2;3,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,0;0;0
semitendinosus-l,6;2;7,6;2;7,6;2;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,7;3;8,7;3;8,6;2;7,4;5;7,8;2;8,8;2;9,7;2;8,8;2;8,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,7;3;8,0;3;0,0;3;0,7;2;8,0;3;0,0;3;0,2;3;6,6;2;7,0;2;0,3;1;3,0;2;0,0;2;0,7;3;7,5;2;6,5;4;6,5;4;6,6;2;7,6;2;7,3;2;3,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,0;0;0
biceps_femoris_long_head-l,6;2;7,6;2;7,6;2;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,7;3;8,7;3;8,6;2;7,4;5;7,0;0;0,8;2;9,7;2;8,0;0;0,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,7;3;8,0;3;0,0;3;0,7;2;8,4;2;7,0;3;0,2;3;6,6;2;7,0;0;0,0;0;0,0;2;0,0;2;0,7;3;7,5;2;6,5;4;6,5;4;6,6;2;7,6;2;7,3;2;3,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,3;5;1
biceps_femoris_long_head-r,6;2;7,6;2;7,6;2;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,7;3;8,7;3;8,6;2;7,4;5;7,0;0;0,8;2;9,7;2;8,0;0;0,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,7;3;8,0;3;0,0;3;0,7;2;8,4;2;7,0;3;0,2;3;6,6;2;7,0;0;0,0;0;0,0;2;0,0;2;0,7;3;7,5;2;6,5;4;6,5;4;6,6;2;7,6;2;7,3;2;3,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,3;5;1
biceps_femoris_short_head-r,6;2;7,6;2;7,6;2;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,7;3;8,7;3;8,6;2;7,4;5;7,0;0;0,8;2;9,7;2;8,0;0;0,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,7;3;8,0;3;0,0;3;0,7;2;8,4;2;7,0;3;0,2;3;6,6;2;7,0;0;0,0;0;0,0;2;0,0;2;0,7;3;7,5;2;6,5;4;6,5;4;6,6;2;7,6;2;7,3;2;3,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,3;5;1
biceps_femoris_short_head-l,6;2;7,6;2;7,6;2;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,7;3;8,7;3;8,6;2;7,4;5;7,0;0;0,8;2;9,7;2;8,0;0;0,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,7;3;8,0;3;0,0;3;0,7;2;8,4;2;7,0;3;0,2;3;6,6;2;7,0;0;0,0;0;0,0;2;0,0;2;0,7;3;7,5;2;6,5;4;6,5;4;6,6;2;7,6;2;7,3;2;3,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,7;3;8,3;5;1
gastrocnemius-r,4;2;5,4;2;5,4;2;5,0;0;0,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;5;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,4;2;5,0;3;0,0;3;0,2;3;6,4;2;5,0;2;0,0;0;0,0;2;0,0;0;0,8;3;9,8;5;9,5;4;6,5;4;6,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
gastrocnemius-l,4;2;5,4;2;5,4;2;5,0;0;0,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;5;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,4;2;5,0;3;0,0;3;0,2;3;6,4;2;5,0;2;0,0;0;0,0;2;0,0;0;0,8;3;9,8;5;9,5;4;6,5;4;6,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
adductor_magnus-r,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,0;0;0,0;3;0,0;3;0,2;3;4,5;2;6,0;4;0,0;0;0,0;2;0,0;0;0,0;5;0,0;0;0,7;2;8,7;2;8,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
adductor_magnus-l,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,0;0;0,0;3;0,0;3;0,2;3;4,5;2;6,0;4;0,0;0;0,0;2;0,0;0;0,0;5;0,0;0;0,7;2;8,7;2;8,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
soleus-r,4;2;5,4;2;5,4;2;5,0;0;0,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;5;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,4;2;5,0;3;0,0;3;0,2;3;6,4;2;5,0;2;0,0;0;0,0;2;0,0;0;0,8;3;9,8;5;9,5;4;6,5;4;6,4;2;5,4;2;5,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
soleus-l,4;2;5,4;2;5,4;2;5,0;0;0,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;5;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,4;2;5,0;3;0,0;3;0,2;3;6,4;2;5,0;2;0,0;0;0,0;2;0,0;0;0,8;3;9,8;5;9,5;4;6,5;4;6,4;2;5,4;2;5,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;5;0
