epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,4126.74,0.54838,1.52533,0,0.38957,0.90689,0.98279,0.99146,0.99404,0.9663,0.97934,0.96905,0.98615,0.87136,0.30074,0.79212,0,0.22985,0.79797,0.007723,0.007723,0.007723
48,4212.04,0.54613,1.52894,0,0.38896,0.90377,0.9861,0.98458,0.99399,0.96533,0.97103,0.9658,0.98607,0.86588,0.29604,0.792,0,0.22897,0.79566,0.0076735,0.0076735,0.0076735
49,4300.39,0.54904,1.54395,0,0.39049,0.90375,0.9821,0.98399,0.99405,0.9682,0.97234,0.96692,0.98691,0.87089,0.29322,0.78178,0,0.22527,0.79487,0.007624,0.007624,0.007624
50,4386.57,0.54881,1.51156,0,0.38836,0.90399,0.98295,0.9846,0.99406,0.96768,0.97435,0.96478,0.9864,0.87465,0.28964,0.76867,0,0.22284,0.79459,0.0075745,0.0075745,0.0075745
51,4474.95,0.54459,1.49382,0,0.38774,0.9063,0.98248,0.98613,0.99413,0.9691,0.97359,0.96585,0.98673,0.87799,0.28934,0.76797,0,0.2209,0.7958,0.007525,0.007525,0.007525
52,4561.34,0.53991,1.47921,0,0.38173,0.90302,0.98196,0.98933,0.99432,0.96934,0.97028,0.97547,0.98673,0.87658,0.29017,0.75744,0,0.22157,0.79526,0.0074755,0.0074755,0.0074755
53,4648.94,0.54089,1.49811,0,0.38423,0.90498,0.98502,0.98933,0.9944,0.97234,0.97125,0.9735,0.98707,0.87422,0.27985,0.75855,0,0.21796,0.79398,0.007426,0.007426,0.007426
54,4737.68,0.53443,1.47722,0,0.3822,0.90198,0.98714,0.98333,0.99439,0.96679,0.97429,0.97057,0.98624,0.86548,0.28545,0.75973,0,0.22272,0.79404,0.0073765,0.0073765,0.0073765
55,4824.81,0.53218,1.46332,0,0.37945,0.90068,0.98262,0.98826,0.99395,0.96995,0.96934,0.97439,0.98604,0.87016,0.28061,0.75089,0,0.21714,0.79359,0.007327,0.007327,0.007327
56,4911.38,0.52738,1.4484,0,0.37967,0.90328,0.98878,0.98399,0.99401,0.97151,0.97998,0.96265,0.98622,0.87396,0.28079,0.74507,0,0.21727,0.79324,0.0072775,0.0072775,0.0072775
